City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed,absLat
tuatapere,100,NZ,1570681362,95,-46.13,167.69,46.0,11.01,46.13
ballina,20,IE,1570681673,93,54.11,-9.15,55.0,1.99,54.11
nikolskoye,90,RU,1570681310,93,59.7,30.79,41.0,4.47,59.7
leningradskiy,29,RU,1570681673,74,69.38,178.42,28.35,18.42,69.38
maltahohe,0,NA,1570681673,33,-24.83,16.98,48.43,20.09,24.83
hilo,1,US,1570681320,83,19.71,-155.08,78.8,5.82,19.71
panama city,1,US,1570681674,73,30.16,-85.65,77.0,8.05,30.16
avarua,100,CK,1570681317,83,-21.21,-159.78,69.8,9.17,21.21
codrington,40,AU,1570681345,46,-28.95,153.24,71.6,13.87,28.95
barrow,0,AR,1570681328,61,-38.31,-60.23,46.89,9.1,38.31
faanui,70,PF,1570681333,81,-16.48,-151.75,75.79,18.2,16.48
hermanus,0,ZA,1570681345,64,-34.42,19.24,51.01,1.01,34.42
busselton,10,AU,1570681311,41,-33.64,115.35,75.0,9.51,33.64
new norfolk,75,AU,1570681349,76,-42.78,147.06,57.0,17.22,42.78
cockburn town,12,TC,1570681360,75,21.46,-71.14,82.83,14.94,21.46
punta arenas,75,CL,1570681304,77,-53.16,-70.91,33.8,25.28,53.16
pisco,90,PE,1570681675,82,-13.71,-76.2,60.8,9.17,13.71
hobart,75,AU,1570681307,76,-42.88,147.33,57.0,17.22,42.88
humaita,33,AR,1570681366,67,-24.93,-65.37,73.4,3.36,24.93
vaini,0,IN,1570681313,78,15.34,74.49,78.8,3.21,15.34
upernavik,23,GL,1570681331,48,72.79,-56.15,26.19,4.58,72.79
konstantinovka,8,UA,1570681676,93,46.85,29.85,54.95,14.68,46.85
jardim,1,BR,1570681676,42,-21.48,-56.15,76.23,6.42,21.48
albany,90,US,1570681309,71,42.65,-73.75,53.6,4.7,42.65
the valley,7,AI,1570681370,78,18.22,-63.06,82.0,2.24,18.22
luderitz,0,NA,1570681365,54,-26.65,15.16,55.4,10.29,26.65
walvis bay,0,NA,1570681370,82,-22.95,14.51,55.4,14.99,22.95
hasaki,75,JP,1570681677,60,35.73,140.83,77.0,10.29,35.73
whitehorse,40,CA,1570681677,84,60.72,-135.06,34.0,14.99,60.72
cururupu,0,BR,1570681677,96,-1.82,-44.87,71.92,2.98,1.82
souillac,82,FR,1570681314,93,45.6,-0.6,57.0,2.24,45.6
kodiak,90,US,1570681317,77,39.95,-94.76,63.0,6.93,39.95
culpeper,1,US,1570681678,93,38.47,-78.0,57.99,5.46,38.47
tuktoyaktuk,40,CA,1570681327,81,69.44,-133.03,32.0,5.82,69.44
provideniya,40,RU,1570681334,64,64.42,-173.23,35.6,13.42,64.42
hithadhoo,48,MV,1570681338,75,-0.6,73.08,82.47,10.52,0.6
benjamin constant,75,BR,1570681678,100,-4.38,-70.03,71.6,3.36,4.38
mar del plata,0,AR,1570681305,40,-46.43,-67.52,53.13,19.64,46.43
arraial do cabo,100,BR,1570681322,88,-22.97,-42.02,70.79,5.35,22.97
jamestown,52,AU,1570681307,23,-33.21,138.6,69.6,4.87,33.21
bartica,20,GY,1570681679,94,6.41,-58.62,77.0,4.7,6.41
qaanaaq,100,GL,1570681324,93,77.48,-69.36,24.21,13.05,77.48
dover,90,US,1570681680,87,39.16,-75.52,57.0,8.05,39.16
airai,46,TL,1570681374,28,-8.93,125.41,86.88,9.6,8.93
grand gaube,75,MU,1570681680,73,-20.01,57.66,73.0,12.75,20.01
saint george,20,GR,1570681320,100,39.45,22.34,55.4,3.36,39.45
mahe,75,IN,1570681680,88,11.7,75.54,82.4,2.24,11.7
tarko-sale,100,RU,1570681681,76,64.92,77.78,37.0,27.14,64.92
san policarpo,100,PH,1570681681,80,12.18,125.51,84.6,8.48,12.18
yellowknife,75,CA,1570681318,59,62.45,-114.38,35.01,6.93,62.45
kolokani,6,ML,1570681681,77,13.58,-8.03,75.78,11.63,13.58
unai,58,BR,1570681682,68,-16.36,-46.91,74.35,1.7,16.36
shingu,75,JP,1570681440,61,33.72,135.99,80.6,6.93,33.72
lander,90,US,1570681682,85,42.83,-108.73,23.0,8.05,42.83
bluff,0,AU,1570681321,32,-23.58,149.07,81.81,5.31,23.58
cherskiy,0,RU,1570681682,85,68.75,161.3,20.14,5.51,68.75
kavaratti,20,IN,1570681349,79,10.57,72.64,86.0,2.05,10.57
east london,92,ZA,1570681325,93,-33.02,27.91,53.6,10.29,33.02
muros,15,ES,1570681366,100,42.77,-9.06,57.0,3.36,42.77
bandarbeyla,15,SO,1570681683,88,9.49,50.81,79.03,9.02,9.49
rikitea,100,PF,1570681303,60,-23.12,-134.97,69.15,9.56,23.12
saskylakh,93,RU,1570681327,94,71.97,114.09,12.47,13.44,71.97
ajaccio,1,FR,1570681684,93,41.93,8.74,68.0,6.93,41.93
bethel,90,US,1570681347,93,60.79,-161.76,39.2,13.87,60.79
cape town,0,ZA,1570681311,62,-33.93,18.42,55.0,18.34,33.93
fuzhou,20,CN,1570681684,48,26.08,119.3,82.4,6.71,26.08
perivolion,100,GR,1570681685,93,39.42,20.01,68.0,2.24,39.42
saurimo,97,AO,1570681685,93,-9.66,20.4,65.39,0.91,9.66
thompson,20,CA,1570681344,73,55.74,-97.86,24.8,2.24,55.74
bowen,40,AU,1570681685,48,-20.01,148.25,84.2,14.99,20.01
ushuaia,90,AR,1570681322,69,-54.81,-68.31,35.6,14.99,54.81
lebu,36,ET,1570681304,82,8.96,38.73,49.3,3.07,8.96
lavrentiya,91,RU,1570681377,70,65.58,-170.99,34.57,13.2,65.58
cidreira,0,BR,1570681396,89,-30.17,-50.22,67.12,18.65,30.17
abilene,1,US,1570681686,44,32.45,-99.73,80.6,20.8,32.45
georgetown,20,GY,1570681328,94,6.8,-58.16,77.0,4.7,6.8
alice springs,0,AU,1570681687,7,-23.7,133.88,82.4,10.29,23.7
mahebourg,75,MU,1570681319,73,-20.41,57.7,73.99,12.75,20.41
port alfred,97,ZA,1570681322,96,-33.59,26.89,53.01,1.99,33.59
poum,0,MK,1570681324,87,41.28,20.71,46.4,3.36,41.28
vila franca do campo,75,PT,1570681360,68,37.72,-25.43,71.01,5.82,37.72
henties bay,0,NA,1570681342,90,-22.12,14.28,52.3,7.6,22.12
bredasdorp,43,ZA,1570681332,86,-34.53,20.04,37.4,2.49,34.53
ribeira grande,71,PT,1570681347,68,38.52,-28.7,62.8,4.0,38.52
lasa,20,CY,1570681383,72,34.92,32.53,68.0,8.05,34.92
mataura,100,NZ,1570681329,95,-46.19,168.86,46.0,11.01,46.19
sitka,33,US,1570681688,78,37.17,-99.65,70.0,21.0,37.17
santa quiteria,100,ES,1570681688,95,37.67,-1.69,70.0,1.01,37.67
byron bay,22,AU,1570681366,64,-28.65,153.62,72.0,16.11,28.65
totma,100,RU,1570681689,96,59.98,42.76,36.52,5.36,59.98
geraldton,20,CA,1570681314,66,49.72,-86.95,53.6,10.29,49.72
rawlins,90,US,1570681689,92,41.79,-107.24,30.2,14.99,41.79
severo-kurilsk,100,RU,1570681389,95,50.68,156.12,43.5,39.43,50.68
kolno,100,PL,1570681690,97,53.41,21.93,48.22,6.38,53.41
lorengau,15,PG,1570681399,70,-2.02,147.27,84.09,1.65,2.02
hami,100,CN,1570681316,17,42.84,93.51,67.93,7.7,42.84
eyl,40,SO,1570681690,85,7.98,49.82,79.63,8.65,7.98
arkhipo-osipovka,0,RU,1570681690,38,44.37,38.53,46.29,2.65,44.37
iqaluit,75,CA,1570681314,86,63.75,-68.52,37.4,16.11,63.75
fasa,40,IR,1570681691,48,28.94,53.65,64.4,7.25,28.94
ancud,90,CL,1570681399,100,-41.87,-73.83,50.0,11.41,41.87
komsomolskiy,100,RU,1570681317,93,67.55,63.78,34.25,7.64,67.55
pimentel,0,BR,1570681691,84,-3.7,-45.5,73.74,5.46,3.7
touros,40,BR,1570681691,88,-5.2,-35.46,71.6,4.7,5.2
rawson,0,AR,1570681432,46,-43.3,-65.11,56.7,16.0,43.3
luanda,75,AO,1570681380,83,-8.83,13.24,75.2,6.93,8.83
fukue,20,JP,1570681692,53,35.03,136.69,80.6,4.7,35.03
pedasi,9,PA,1570681692,83,7.53,-80.03,80.38,5.55,7.53
aragarcas,37,BR,1570681693,77,-15.9,-52.25,74.19,1.64,15.9
kidal,19,ML,1570681693,36,18.44,1.41,85.28,7.23,18.44
tessalit,59,ML,1570681693,21,20.2,1.01,83.84,1.73,20.2
narsaq,9,GL,1570681361,46,60.91,-46.05,32.0,2.24,60.91
butaritari,74,KI,1570681312,67,3.07,172.79,85.26,12.54,3.07
katsuura,40,JP,1570681442,53,33.93,134.5,81.0,10.29,33.93
san carlos,100,NI,1570681694,1,11.12,-84.78,75.99,3.0,11.12
tiarei,75,PF,1570681694,65,-17.53,-149.33,78.8,4.7,17.53
batagay,98,RU,1570681694,67,67.65,134.64,11.19,3.81,67.65
port hardy,5,CA,1570681316,93,50.7,-127.42,35.6,3.36,50.7
castro,90,CL,1570681380,100,-42.48,-73.76,50.0,11.41,42.48
hofn,100,IS,1570681453,70,64.25,-15.21,45.23,17.53,64.25
puerto ayora,18,EC,1570681324,93,-0.74,-90.35,64.99,1.99,0.74
atuona,82,PF,1570681330,73,-9.8,-139.03,78.55,3.81,9.8
luau,86,CD,1570681695,89,-10.7,22.23,66.11,2.19,10.7
saint-philippe,90,CA,1570681342,87,45.36,-73.48,52.0,6.93,45.36
bakchar,45,RU,1570681696,70,57.02,82.07,36.46,6.77,57.02
carnarvon,0,ZA,1570681313,75,-30.97,22.13,37.62,19.03,30.97
mayskiy,75,RU,1570681696,93,43.63,44.06,48.2,4.47,43.63
bereda,0,ES,1570681696,100,43.27,-7.54,54.0,3.36,43.27
quatre cocos,75,MU,1570681697,73,-20.21,57.76,73.0,12.75,20.21
victoria,75,BN,1570681392,83,5.28,115.24,84.2,4.7,5.28
fortuna,1,US,1570681394,76,40.6,-124.16,51.8,6.93,40.6
chuy,100,UY,1570681305,81,-33.69,-53.46,61.72,5.91,33.69
matay,0,EG,1570681697,76,28.42,30.79,65.55,9.07,28.42
xichang,100,CN,1570681697,94,27.88,102.25,51.01,3.96,27.88
san cristobal,73,HN,1570681698,93,14.68,-86.92,67.33,4.58,14.68
eirunepe,100,BR,1570681698,85,-6.66,-69.87,74.26,1.05,6.66
ponta do sol,97,BR,1570681377,93,-20.63,-46.0,65.55,7.41,20.63
guerrero negro,0,MX,1570681340,80,27.97,-114.04,67.23,12.77,27.97
corn island,68,NI,1570681698,76,12.17,-83.04,84.27,8.56,12.17
haines junction,97,CA,1570681699,96,60.75,-137.51,29.53,7.17,60.75
potam,0,MX,1570681699,88,27.6,-110.38,73.99,4.84,27.6
kapaa,75,US,1570681329,78,22.08,-159.32,82.4,10.29,22.08
saldanha,0,PT,1570681334,73,41.42,-6.55,51.73,7.94,41.42
paijan,90,PE,1570681699,87,-7.73,-79.3,60.8,6.93,7.73
vao,99,EE,1570681448,99,59.1,26.19,44.1,4.18,59.1
barmer,0,IN,1570681700,39,25.74,71.4,85.24,2.81,25.74
rio gallegos,99,AR,1570681700,93,-51.62,-69.22,41.0,32.21,51.62
mwene-ditu,95,CD,1570681700,87,-7.01,23.45,67.59,2.78,7.01
moerai,100,PF,1570681701,66,-22.43,-151.33,68.23,15.77,22.43
tiksi,100,RU,1570681347,92,71.64,128.87,24.28,9.93,71.64
minot,90,US,1570681701,92,48.23,-101.3,30.2,21.92,48.23
aklavik,40,CA,1570681309,69,68.22,-135.01,33.8,8.05,68.22
marianske lazne,90,CZ,1570681701,93,49.96,12.7,48.2,12.63,49.96
port hawkesbury,1,CA,1570681702,86,45.62,-61.36,46.99,3.36,45.62
vista,90,US,1570681702,77,33.2,-117.24,66.0,3.67,33.2
talnakh,75,RU,1570681365,68,69.49,88.39,26.6,15.66,69.49
shache,0,CN,1570681703,23,38.42,77.24,64.63,6.13,38.42
hermiston,1,US,1570681703,59,45.84,-119.29,42.01,6.93,45.84
kruisfontein,10,ZA,1570681331,88,-34.0,24.73,45.99,4.51,34.0
guasdualito,100,VE,1570681704,97,7.24,-70.73,73.92,6.22,7.24
kahului,40,US,1570681704,74,20.89,-156.47,82.4,14.99,20.89
vieux-habitants,71,GP,1570681704,94,16.06,-61.77,75.2,3.36,16.06
krylovskaya,69,RU,1570681704,86,46.32,39.96,46.69,3.69,46.32
paita,58,PE,1570681705,76,-5.09,-81.11,63.59,6.83,5.09
vilyuysk,100,RU,1570681705,91,63.75,121.63,20.1,12.73,63.75
seoul,75,KR,1570681705,45,37.57,126.98,66.2,2.24,37.57
mayo,75,CA,1570681705,86,63.59,-135.9,30.2,2.6,63.59
dhidhdhoo,100,MV,1570681706,76,6.88,73.1,82.83,8.74,6.88
zambezi,97,ZM,1570681706,55,-13.55,23.12,70.23,2.9,13.55
avera,1,US,1570681365,93,33.19,-82.53,68.0,6.12,33.19
camacha,75,PT,1570681396,72,33.08,-16.33,68.0,9.17,33.08
rockford,1,US,1570681706,71,42.27,-89.09,59.0,5.82,42.27
waingapu,13,ID,1570681336,79,-9.65,120.26,79.11,9.2,9.65
chokurdakh,0,RU,1570681365,84,70.62,147.9,9.34,3.5,70.62
tarsus,0,TR,1570681707,88,36.92,34.88,64.4,6.93,36.92
isiro,32,CD,1570681707,99,2.77,27.62,65.3,0.92,2.77
yulara,0,AU,1570681372,7,-25.24,130.99,89.6,9.17,25.24
camapua,67,BR,1570681707,60,-19.53,-54.04,76.32,4.5,19.53
jalu,75,LY,1570681377,23,29.03,21.55,82.67,15.47,29.03
nhulunbuy,47,AU,1570681708,22,-12.18,136.78,91.4,11.41,12.18
pinheiro machado,73,BR,1570681708,49,-31.58,-53.38,59.0,5.01,31.58
changji,100,CN,1570681708,70,32.07,116.17,67.68,7.55,32.07
west odessa,1,US,1570681708,47,31.84,-102.48,80.6,11.41,31.84
bata,40,GQ,1570681709,100,1.87,9.77,75.2,5.82,1.87
lompoc,40,US,1570681394,87,34.64,-120.46,57.99,3.36,34.64
khatanga,31,RU,1570681303,86,71.98,102.47,16.11,10.96,71.98
leon,90,US,1570681709,93,40.74,-93.75,57.2,10.8,40.74
macduff,40,GB,1570681709,87,57.67,-2.48,51.8,14.99,57.67
bucerias,90,MX,1570681710,88,20.76,-105.33,80.01,4.51,20.76
bambanglipuro,3,ID,1570681451,51,-7.95,110.28,86.09,12.56,7.95
dolores,98,UY,1570681710,97,-33.53,-58.22,62.78,9.34,33.53
areia branca,40,BR,1570681710,78,-10.76,-37.31,77.0,10.29,10.76
sao filipe,13,CV,1570681427,82,14.9,-24.5,77.38,6.96,14.9
vardo,1,US,1570681443,71,39.62,-77.74,55.0,5.82,39.62
praia da vitoria,75,PT,1570681711,82,38.73,-27.07,62.6,5.59,38.73
sorland,72,NO,1570681348,86,67.67,12.69,30.2,4.7,67.67
marawi,75,PH,1570681711,71,8.0,124.29,86.0,8.01,8.0
north bend,1,US,1570681451,87,43.41,-124.22,48.0,5.82,43.41
vikhorevka,75,RU,1570681712,73,56.12,101.17,23.0,8.95,56.12
rio grande,2,BR,1570681712,83,-32.03,-52.1,62.01,13.47,32.03
muscatine,90,US,1570681713,55,41.42,-91.04,63.0,4.7,41.42
tilichiki,100,RU,1570681349,63,60.47,166.1,30.27,8.57,60.47
ilulissat,8,GL,1570681339,50,69.22,-51.1,28.4,12.75,69.22
vodnyy,0,RU,1570681713,91,63.51,53.41,28.63,4.4,63.51
kavieng,1,PG,1570681302,64,-2.57,150.8,85.15,1.51,2.57
faya,100,SA,1570681381,41,18.39,42.45,62.6,8.21,18.39
acoyapa,58,NI,1570681714,93,11.97,-85.17,73.54,3.76,11.97
pevek,100,RU,1570681330,83,69.7,170.27,26.8,12.49,69.7
sumenep,19,ID,1570681714,56,-7.02,113.87,85.44,8.71,7.02
obidos,0,PT,1570681714,72,39.36,-9.16,60.8,13.87,39.36
kumertau,100,RU,1570681715,85,52.77,55.78,38.73,11.5,52.77
westport,75,US,1570681355,81,41.14,-73.36,55.0,9.17,41.14
urengoy,100,RU,1570681715,75,65.96,78.37,32.67,22.0,65.96
kutum,100,SD,1570681459,59,14.2,24.66,75.27,0.63,14.2
santa cruz,90,BR,1570681380,85,-6.22,-36.02,69.94,9.25,6.22
inhambane,0,MZ,1570681325,87,-23.87,35.38,75.7,11.77,23.87
khakhea,0,BW,1570681716,28,-24.69,23.5,60.06,13.6,24.69
baykit,0,RU,1570681428,58,61.68,96.39,24.44,3.45,61.68
port augusta,0,AU,1570681716,40,-32.49,137.76,73.99,13.87,32.49
wichian buri,0,TH,1570681717,75,15.66,101.11,83.37,4.21,15.66
port-gentil,100,GA,1570681331,83,-0.72,8.78,78.64,8.11,0.72
ekibastuz,0,KZ,1570681717,54,51.72,75.32,55.71,12.09,51.72
nanortalik,11,GL,1570681362,88,60.14,-45.24,38.8,11.34,60.14
kampot,20,KH,1570681717,70,10.62,104.18,87.8,5.82,10.62
doha,0,QA,1570681718,74,25.29,51.53,87.8,4.7,25.29
murgab,75,TM,1570681718,37,37.5,61.97,68.0,4.7,37.5
qaqortoq,0,GL,1570681330,75,60.72,-46.03,32.0,2.24,60.72
pulandian,100,CN,1570681718,63,39.4,121.96,71.01,4.47,39.4
chivilcoy,6,AR,1570681719,94,-34.9,-60.02,59.45,6.24,34.9
galesong,20,ID,1570681719,46,-5.32,119.37,93.2,11.41,5.32
bonavista,2,CA,1570681374,88,48.65,-53.11,39.99,5.99,48.65
jumla,3,NP,1570681719,64,29.28,82.18,52.66,1.41,29.28
tayoltita,23,MX,1570681719,92,24.11,-105.93,65.17,4.63,24.11
macau,100,BR,1570681720,76,-5.11,-36.64,77.54,24.34,5.11
tamala,66,RU,1570681720,90,52.54,43.26,40.84,7.54,52.54
mednogorsk,95,RU,1570681720,91,51.41,57.59,39.65,12.42,51.41
fuling,100,CN,1570681720,93,29.71,107.39,62.87,3.01,29.71
kirksville,90,US,1570681720,77,40.19,-92.58,60.8,11.41,40.19
paamiut,0,GL,1570681721,58,61.99,-49.67,37.45,5.72,61.99
itarema,15,BR,1570681721,78,-2.92,-39.92,76.03,9.8,2.92
tapa,90,EE,1570681721,100,59.27,25.96,44.01,5.82,59.27
itamarandiba,27,BR,1570681721,96,-17.86,-42.86,63.03,4.11,17.86
morant bay,20,JM,1570681722,74,17.88,-76.41,82.4,5.82,17.88
constitucion,75,MX,1570681341,49,23.99,-104.67,68.0,9.17,23.99
vilhena,100,BR,1570681722,86,-12.74,-60.15,71.65,1.74,12.74
cabo san lucas,5,MX,1570681325,58,22.89,-109.91,82.99,4.7,22.89
abu samrah,0,SY,1570681722,74,35.3,37.18,60.12,5.14,35.3
koupela,100,BF,1570681723,86,12.18,-0.35,76.08,7.18,12.18
tasiilaq,95,GL,1570681303,80,65.61,-37.64,35.6,1.96,65.61
pangai,40,TO,1570681435,74,-19.8,-174.35,80.6,5.82,19.8
dikson,73,RU,1570681304,87,73.51,80.55,28.74,24.74,73.51
laguna,40,BZ,1570681447,94,16.17,-88.94,78.8,2.35,16.17
lodwar,70,KE,1570681724,55,3.12,35.6,81.19,13.36,3.12
iskateley,1,RU,1570681724,93,67.68,53.15,28.04,8.96,67.68
pacific grove,1,US,1570681724,62,36.62,-121.92,61.0,5.82,36.62
esperance,0,AU,1570681316,51,-33.86,121.89,80.6,13.87,33.86
nikolayevsk-na-amure,87,RU,1570681725,61,53.14,140.72,52.65,8.02,53.14
tucuman,0,PE,1570681725,29,-17.17,-70.89,51.46,3.25,17.17
hamilton,5,CA,1570681401,93,43.26,-79.87,59.0,10.29,43.26
mantua,40,IT,1570681432,100,45.16,10.79,57.2,2.24,45.16
lagoa,0,PT,1570681306,52,37.14,-8.45,66.2,4.7,37.14
archidona,12,EC,1570681726,92,-0.91,-77.81,58.23,5.33,0.91
nenjiang,0,CN,1570681726,48,49.17,125.23,45.12,8.34,49.17
port lincoln,92,AU,1570681448,64,-34.72,135.86,59.38,7.9,34.72
peleduy,96,RU,1570681726,83,59.63,112.75,18.64,5.23,59.63
ust-tsilma,100,RU,1570681727,91,65.44,52.15,31.6,5.1,65.44
